Date,Model,Device,Type,TPT,FPT,CPT,ACMDR,SCT,AIT,SIM,NIGHT,HLL,LLL,P,6.0,F,1,2.0,A,B,Record,T&R,Role,Sorties,NT,SIT,IPT,NVG,Mission Code,CAT/JATO,Remarks,DayLdg,NPS,PS,NightLdg,NPA,PA,ShipArrest,Time,Approaches,PIC,SIC
2014-02-18 00:00:00,KC-130J,167983,Aircraft,1.9,0.9,1.0,,,,,,,,,,,,,,,GL312JL,"3600, 2300",COPILOT,1,,,,,,,,,,,,,,,,,,1.9
2014-02-18 00:00:00,KC-130J,167983,Aircraft,1.2,0.6,0.6,,1.2,0.3,,,,,,,,,,,,GL312JH,"2261, 4200",COPILOT,1,,,,,,,,,,,,,,,,,,1.2
2014-02-20 00:00:00,KC-130J,167983,Aircraft,5.9,2.9,3.0,,,0.5,0.3,,,,,1.0,,,1.0,,,GL312JU,2301,COPILOT,1,,,,,,,,,,,,,,,,,,5.9
2014-02-21 00:00:00,KC-130J,167923,Aircraft,3.9,1.9,2.0,,,,0.3,,,,,1.0,,,,1.0,,GL312JX,,COPILOT,1,,,,,,,,,,,,,,,,,,3.9
2014-02-22 00:00:00,KC-130J,167923,Aircraft,2.8,1.4,1.4,,,,,,,,,1.0,,,,,,GL312K4,,COPILOT,1,,,,,,,,,,,,,,,,,,2.8
2014-02-23 00:00:00,KC-130J,167982,Aircraft,0.9,0.4,0.5,,,,,,,,,1.0,,,,,,GL312KD,,COPILOT,1,,,,,,,,,,,,,,,,,,0.9
2014-02-24 00:00:00,KC-130J,167982,Aircraft,6.7,3.3,3.4,,,,,1.0,,,,,1.0,,,,,GL312K9,"3600, 2162",COPILOT,1,,,,,,,,,,,,,,,,,,6.7
2014-03-03 00:00:00,KC-130J,167926,Aircraft,6.7,3.3,3.4,,,0.5,0.6,2.0,,,,2.0,,,,,2.0,GL312LF,,COPILOT,1,,,,,,,,,,,,,,,,,,6.7
2014-03-05 00:00:00,KC-130J,167927,Aircraft,2.7,1.3,1.4,,,,,2.0,,2.0,1.0,,,,,,,GL312LQ,"2151, 3650",COPILOT,1,,,,,,,,,,,,,,,,,,2.7
2014-03-06 00:00:00,KC-130J,167927,Aircraft,4.4,2.2,2.2,,,,0.6,3.0,2.5,,,,,,,,,GL312LV,2150,COPILOT,1,,,,,,,,,,,,,,,,,,4.4
2014-03-10 00:00:00,KC-130J,2F199-3,Simulator,3.0,1.5,1.5,,,,,,,,,,,,,,,42e76af8,6120,COPILOT,1,,,,,,,,,,,,,,,,,,3.0
2014-03-17 00:00:00,KC-130J,2F199-3,Simulator,3.0,1.5,1.5,,,,1.5,,,,,3.0,,,,2.0,2.0,700f4603,"6130, 6111, 6120",COPILOT,1,,,,,,,,,,,,,,,,,,3.0
